task_id,run_uuid,status,creation_time,param_angle_of_attack,param_beta,param_tip_twist,param_x_tip_scale,param_y_tip_scale,obj_lift_to_drag
doe-200_gan-1-19-19500,0198b54f-3655-71c1-9620-e6bb0a8f3ed6,Finished,2025-08-16T23:55:24Z,14.32333451,0.347329145,-5,0.8,0.8,7.717214505616622
doe-200_gan-1-19-19500,0198b54f-3656-7c85-a979-e3e891a077be,Finished,2025-08-16T23:55:24Z,16.56932287,0.6436073686,-5,0.8,0.8,6.649919905931734
doe-200_gan-1-19-19500,0198b54f-3658-7b4f-8051-ba665be44f09,Finished,2025-08-16T23:55:24Z,13.41662186,0.04723073846,-5,0.8,0.8,6.450530086108656
doe-200_gan-1-19-19500,0198b54f-365b-7198-8a92-98ce12d5195c,Finished,2025-08-16T23:55:24Z,14.82798519,0.1927460505,-5,0.8,0.8,6.618679056504696
doe-200_gan-1-19-19500,0198b54f-365e-70a9-b0bd-539f41101872,Finished,2025-08-16T23:55:24Z,16.38384306,0.788175426,-5,0.8,0.8,6.336394786234667
doe-200_gan-1-19-19500,0198b54f-3660-7292-a8c4-4dce7ebdaa20,Finished,2025-08-16T23:55:24Z,16.48552093,0.1964698064,-5,0.8,0.8,5.896506007325968
doe-200_gan-1-19-19500,0198b54f-3661-7ca3-9bdf-9660ecf6af19,Finished,2025-08-16T23:55:24Z,13.54661192,0.1069540503,-5,0.8,0.8,6.765382218586137
doe-200_gan-1-19-19500,0198b54f-3663-7b43-99b6-873a4fb45613,Finished,2025-08-16T23:55:24Z,15.89241222,0.2171656788,-5,0.8,0.8,6.236203915661747
doe-200_gan-1-19-19500,0198b54f-3667-75a1-a457-fe374aa57670,Finished,2025-08-16T23:55:24Z,16.87279326,0.3526919626,-5,0.8,0.8,6.219697367149586
doe-200_gan-1-19-19500,0198b54f-3669-7346-a132-6f06024c61dd,Finished,2025-08-16T23:55:24Z,16.7779688,0.07473102579,-5,0.8,0.8,5.350083524970712
doe-200_gan-1-19-19500,0198b567-ce60-73e7-acdd-908db5098009,Finished,2025-08-17T00:22:15Z,15.55870017,0.6397369345,-5,0.8,0.8,7.348759396555539
doe-200_gan-1-19-19500,0198b567-e764-7b2e-b677-94810301ba94,Finished,2025-08-17T00:22:22Z,14.02607618,0.7461898234,-5,0.8,0.8,8.368972372911005
doe-200_gan-1-19-19500,0198b569-087b-7c35-834c-62b0115761df,Finished,2025-08-17T00:23:36Z,16.3608898,0.3850945106,-5,0.8,0.8,6.61315359194419
doe-200_gan-1-19-19500,0198b569-3859-7563-82c5-e3cae475ec5e,Finished,2025-08-17T00:23:48Z,14.34313744,0.09418222434,-5,0.8,0.8,6.350208529416339
doe-200_gan-1-19-19500,0198b56a-83fb-73ae-b8cc-3d4c72b52946,Finished,2025-08-17T00:25:13Z,13.23996715,0.183374819,-5,0.8,0.8,7.439541581683279
doe-200_gan-1-19-19500,0198b56a-fbfa-79f3-a5e4-f598a52aa5cf,Finished,2025-08-17T00:25:44Z,13.9611844,0.6154329702,-5,0.8,0.8,8.577196401863118
doe-200_gan-1-19-19500,0198b56c-506c-7651-b185-3e986081e447,Finished,2025-08-17T00:27:11Z,16.67472192,0.6904441565,-5,0.8,0.8,6.502168354743482
doe-200_gan-1-19-19500,0198b56d-21fe-774a-b219-79466d90685a,Finished,2025-08-17T00:28:04Z,15.34181059,0.2618924091,-5,0.8,0.8,6.722448817365585
doe-200_gan-1-19-19500,0198b56e-f979-737c-b55b-7c5d59acc541,Finished,2025-08-17T00:30:05Z,13.89148347,0.3808241268,-5,0.8,0.8,8.16773056733336
doe-200_gan-1-19-19500,0198b57f-4c80-7357-b5c3-caaf5a2dc7f7,Finished,2025-08-17T00:47:55Z,16.19526697,0.5852018527,-5,0.8,0.8,6.910165518581716
doe-200_gan-1-19-19500,0198b583-102a-7868-bde6-53e6bc771c8a,Finished,2025-08-17T00:52:02Z,16.55675535,0.2432122769,-5,0.8,0.8,6.04019595273625
doe-200_gan-1-19-19500,0198b583-addf-79fe-9dfa-d1053784cd6e,Finished,2025-08-17T00:52:42Z,15.40406993,0.1221738479,-5,0.8,0.8,5.992287252748296
doe-200_gan-1-19-19500,0198b583-b9bb-79b2-9145-c291613e950c,Finished,2025-08-17T00:52:45Z,15.97260069,0.420971853,-5,0.8,0.8,6.8571903528147224
doe-200_gan-1-19-19500,0198b583-bd98-7b0c-94b2-86283f2eaa71,Finished,2025-08-17T00:52:46Z,14.97760298,0.03597189985,-5,0.8,0.8,5.733083618050444
doe-200_gan-1-19-19500,0198b583-fd23-7863-9110-a183239699cf,Finished,2025-08-17T00:53:02Z,14.48641949,0.1720518092,-5,0.8,0.8,6.690962765675967
doe-200_gan-1-19-19500,0198b587-091f-797a-92c1-1567d3192a45,Finished,2025-08-17T00:56:22Z,14.6220805,0.3615262811,-5,0.8,0.8,7.535395118575998
doe-200_gan-1-19-19500,0198b58a-b5b9-712c-a5b8-e95e096d1abe,Finished,2025-08-17T01:00:23Z,13.32292405,0.141157138,-5,0.8,0.8,7.1325957867948535
doe-200_gan-1-19-19500,0198b599-111d-7afe-8dc3-8bdfead3c876,Finished,2025-08-17T01:16:04Z,15.80786578,0.07658776985,-5,0.8,0.8,5.678423635171461
doe-200_gan-1-19-19500,0198b59c-e59c-71e5-b408-7b7d9ef32447,Finished,2025-08-17T01:20:15Z,13.51976949,0.05434372752,-5,0.8,0.8,6.481556488199181
doe-200_gan-1-19-19500,0198b59d-cda4-7479-ba84-0f2da32a418d,Finished,2025-08-17T01:21:14Z,15.44475865,0.111032606,-5,0.8,0.8,5.962428034139662
doe-200_gan-1-19-19500,0198b59d-dadc-71be-a0bd-53233f3daa6f,Finished,2025-08-17T01:21:18Z,13.47342675,0.06773229025,-5,0.8,0.8,6.615024659867466
doe-200_gan-1-19-19500,0198b59e-7be6-7cc7-a056-2224f567a09c,Finished,2025-08-17T01:21:59Z,14.15771064,0.3778688143,-5,0.8,0.8,7.961816454594415
doe-200_gan-1-19-19500,0198b5a1-5a64-7621-b2c3-6732f28af899,Finished,2025-08-17T01:25:07Z,16.65283484,0.883081258,-5,0.8,0.8,5.536288178429913
doe-200_gan-1-19-19500,0198b5a5-1405-7417-ade2-0a79407acff7,Finished,2025-08-17T01:29:11Z,15.69876083,0.2582676385,-5,0.8,0.8,6.491204012912306
doe-200_gan-1-19-19500,0198b5a6-ac18-7e53-94c3-c4006ef57183,Finished,2025-08-17T01:30:55Z,13.26271365,0.7137088813,-5,0.8,0.8,9.22355498125665
doe-200_gan-1-19-19500,0198b5b2-97df-7ad6-8faf-ddb7872b7c86,Finished,2025-08-17T01:43:57Z,16.1633221,0.8489221644,-5,0.8,0.8,6.106923945785856
doe-200_gan-1-19-19500,0198b5b7-0690-79d6-8fa9-0c7c150d7f82,Finished,2025-08-17T01:48:47Z,13.65210603,0.7086515909,-5,0.8,0.8,8.84235893461773
doe-200_gan-1-19-19500,0198b5b7-4718-79da-9d84-e891205438b5,Finished,2025-08-17T01:49:04Z,13.75115322,0.695599002,-5,0.8,0.8,8.784238649592314
doe-200_gan-1-19-19500,0198b5b7-cdef-7099-bc44-be6866248611,Finished,2025-08-17T01:49:38Z,15.03811259,0.4516389587,-5,0.8,0.8,7.5409122169776674
doe-200_gan-1-19-19500,0198b5ba-abb9-7338-996f-0edfeb2e80fb,Finished,2025-08-17T01:52:46Z,14.05428672,0.5708658725,-5,0.8,0.8,8.399266350463918
doe-200_gan-1-19-19500,0198b5c1-818e-790e-a94c-c0af2f9c8307,Finished,2025-08-17T02:00:14Z,15.93566862,0.7371024367,-5,0.8,0.8,6.8964584271704386
doe-200_gan-1-19-19500,0198b5c3-f2f1-7135-a8a0-c370afb471fc,Finished,2025-08-17T02:02:54Z,15.24752245,0.08181296262,-5,0.8,0.8,5.884924686025741
doe-200_gan-1-19-19500,0198b5c4-72de-7b46-bad0-1c40b9a6a795,Finished,2025-08-17T02:03:27Z,15.21613604,0.79307703,-5,0.8,0.8,7.149968573638942
doe-200_gan-1-19-19500,0198b5d0-1d96-7f34-9cb9-d27cf9a9d571,Finished,2025-08-17T02:16:11Z,15.70745914,0.8715261091,-5,0.8,0.8,6.3421552354301785
doe-200_gan-1-19-19500,0198b5d2-036c-7295-94fc-bfd50a1922f3,Finished,2025-08-17T02:18:16Z,13.68986961,0.3336725315,-5,0.8,0.8,8.110568231088992
doe-200_gan-1-19-19500,0198b5d3-3264-79de-8fda-c4c14e784915,Finished,2025-08-17T02:19:33Z,14.68615694,0.2689358205,-5,0.8,0.8,7.120537398083972
doe-200_gan-1-19-19500,0198b5d3-3840-7c42-9d0e-5c1708ad0bb7,Finished,2025-08-17T02:19:35Z,14.30451007,0.8244738486,-5,0.8,0.8,7.704658726324016
doe-200_gan-1-19-19500,0198b5d5-f51c-7ecf-b1ee-ed80425c2cba,Finished,2025-08-17T02:22:34Z,13.71894628,0.7274797219,-5,0.8,0.8,8.739148094178386
doe-200_gan-1-19-19500,0198b5da-078b-7c7c-af5b-54c47eee2ebe,Finished,2025-08-17T02:27:01Z,16.60350545,0.4040087827,-5,0.8,0.8,6.489435330070152
doe-200_gan-1-19-19500,0198b5e0-ef4f-7031-8033-c071afafc969,Finished,2025-08-17T02:34:34Z,16.023834,0.3751095588,-5,0.8,0.8,6.781733482187626
